usd_xr,date
65.38340000,2019-06-03
65.55470000,2019-06-04
65.16140000,2019-06-05
65.12430000,2019-06-06
65.23400000,2019-06-07
65.03950000,2019-06-08
65.03950000,2019-06-09
65.03950000,2019-06-10
64.79190000,2019-06-11
64.51580000,2019-06-12
64.51580000,2019-06-13
64.63140000,2019-06-14
64.43260000,2019-06-15
64.43260000,2019-06-16
64.43260000,2019-06-17
64.31870000,2019-06-18
64.33520000,2019-06-19
63.97940000,2019-06-20
63.38770000,2019-06-21
63.12950000,2019-06-22
63.12950000,2019-06-23
63.12950000,2019-06-24
62.90950000,2019-06-25
62.52290000,2019-06-26
62.80830000,2019-06-27
63.04520000,2019-06-28
63.07560000,2019-06-29
63.07560000,2019-06-30
63.07560000,2019-07-01
63.05410000,2019-07-02
63.22650000,2019-07-03
63.49510000,2019-07-04
63.40130000,2019-07-05
63.58410000,2019-07-06
63.58410000,2019-07-07
63.58410000,2019-07-08
63.86990000,2019-07-09
63.76600000,2019-07-10
63.79880000,2019-07-11
62.99440000,2019-07-12
63.02040000,2019-07-13
63.02040000,2019-07-14
63.02040000,2019-07-15
62.82800000,2019-07-16
62.81290000,2019-07-17
62.94510000,2019-07-18
62.82860000,2019-07-19
62.86660000,2019-07-20
62.86660000,2019-07-21
62.86660000,2019-07-22
62.97760000,2019-07-23
63.12900000,2019-07-24
63.11620000,2019-07-25
63.15720000,2019-07-26
63.12710000,2019-07-27
63.12710000,2019-07-28
63.12710000,2019-07-29
63.52100000,2019-07-30
63.37910000,2019-07-31
63.41720000,2019-08-01
63.83400000,2019-08-02
64.64230000,2019-08-03
64.64230000,2019-08-04
64.64230000,2019-08-05
65.05460000,2019-08-06
65.20300000,2019-08-07
65.09320000,2019-08-08
65.12990000,2019-08-09
65.25430000,2019-08-10
65.25430000,2019-08-11
65.25430000,2019-08-12
65.42870000,2019-08-13
65.60170000,2019-08-14
65.20320000,2019-08-15
65.89070000,2019-08-16
65.99610000,2019-08-17
65.99610000,2019-08-18
65.99610000,2019-08-19
66.60820000,2019-08-20
66.78400000,2019-08-21
66.26300000,2019-08-22
65.61960000,2019-08-23
65.60460000,2019-08-24
65.60460000,2019-08-25
65.60460000,2019-08-26
65.97350000,2019-08-27
66.26080000,2019-08-28
66.41270000,2019-08-29
66.74710000,2019-08-30
66.48970000,2019-08-31
66.48970000,2019-09-01
66.48970000,2019-09-02
66.62350000,2019-09-03
66.90720000,2019-09-04
66.50020000,2019-09-05
66.05280000,2019-09-06
65.99810000,2019-09-07
65.99810000,2019-09-08
65.99810000,2019-09-09
65.56980000,2019-09-10
65.43930000,2019-09-11
65.43210000,2019-09-12
65.19090000,2019-09-13
64.47110000,2019-09-14
64.47110000,2019-09-15
64.47110000,2019-09-16
63.82720000,2019-09-17
64.12130000,2019-09-18
64.42900000,2019-09-19
64.21990000,2019-09-20
63.84870000,2019-09-21
63.84870000,2019-09-22
63.84870000,2019-09-23
63.94530000,2019-09-24
63.70600000,2019-09-25
64.18730000,2019-09-26
64.28880000,2019-09-27
64.41560000,2019-09-28
64.41560000,2019-09-29
64.41560000,2019-09-30
64.64070000,2019-10-01
65.06700000,2019-10-02
65.43990000,2019-10-03
65.13120000,2019-10-04
65.03000000,2019-10-05
65.03000000,2019-10-06
65.03000000,2019-10-07
64.82590000,2019-10-08
64.86720000,2019-10-09
65.09760000,2019-10-10
64.74160000,2019-10-11
64.22370000,2019-10-12
64.22370000,2019-10-13
64.22370000,2019-10-14
64.36520000,2019-10-15
64.25480000,2019-10-16
64.34550000,2019-10-17
64.01440000,2019-10-18
63.95420000,2019-10-19
63.95420000,2019-10-20
63.95420000,2019-10-21
63.76060000,2019-10-22
63.63360000,2019-10-23
63.79970000,2019-10-24
63.86000000,2019-10-25
63.99660000,2019-10-26
63.99660000,2019-10-27
63.99660000,2019-10-28
63.87000000,2019-10-29
63.83200000,2019-10-30
63.87340000,2019-10-31
63.77480000,2019-11-01
64.03160000,2019-11-02
64.03160000,2019-11-03
64.03160000,2019-11-04
64.03160000,2019-11-05
63.24800000,2019-11-06
63.58800000,2019-11-07
63.72980000,2019-11-08
63.72950000,2019-11-09
63.72950000,2019-11-10
